season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points,laps_of_split_data,lap_1_position,lap_1_laptime,lap_1_elapsedtime,lap_2_position,lap_2_laptime,lap_2_elapsedtime,lap_3_position,lap_3_laptime,lap_3_elapsedtime,lap_4_position,lap_4_laptime,lap_4_elapsedtime,lap_5_position,lap_5_laptime,lap_5_elapsedtime,lap_6_position,lap_6_laptime,lap_6_elapsedtime,lap_7_position,lap_7_laptime,lap_7_elapsedtime,lap_8_position,lap_8_laptime,lap_8_elapsedtime,lap_9_position,lap_9_laptime,lap_9_elapsedtime,lap_10_position,lap_10_laptime,lap_10_elapsedtime,lap_11_position,lap_11_laptime,lap_11_elapsedtime,lap_12_position,lap_12_laptime,lap_12_elapsedtime,lap_13_position,lap_13_laptime,lap_13_elapsedtime,lap_14_position,lap_14_laptime,lap_14_elapsedtime,lap_15_position,lap_15_laptime,lap_15_elapsedtime,lap_16_position,lap_16_laptime,lap_16_elapsedtime,lap_17_position,lap_17_laptime,lap_17_elapsedtime,lap_18_position,lap_18_laptime,lap_18_elapsedtime,lap_19_position,lap_19_laptime,lap_19_elapsedtime,lap_20_position,lap_20_laptime,lap_20_elapsedtime,lap_21_position,lap_21_laptime,lap_21_elapsedtime,lap_22_position,lap_22_laptime,lap_22_elapsedtime,lap_23_position,lap_23_laptime,lap_23_elapsedtime,lap_24_position,lap_24_laptime,lap_24_elapsedtime,lap_25_position,lap_25_laptime,lap_25_elapsedtime,lap_26_position,lap_26_laptime,lap_26_elapsedtime,lap_27_position,lap_27_laptime,lap_27_elapsedtime,lap_28_position,lap_28_laptime,lap_28_elapsedtime,lap_29_position,lap_29_laptime,lap_29_elapsedtime,lap_30_position,lap_30_laptime,lap_30_elapsedtime,lap_31_position,lap_31_laptime,lap_31_elapsedtime,lap_32_position,lap_32_laptime,lap_32_elapsedtime,lap_33_position,lap_33_laptime,lap_33_elapsedtime,lap_34_position,lap_34_laptime,lap_34_elapsedtime,lap_35_position,lap_35_laptime,lap_35_elapsedtime,lap_36_position,lap_36_laptime,lap_36_elapsedtime,lap_37_position,lap_37_laptime,lap_37_elapsedtime,lap_38_position,lap_38_laptime,lap_38_elapsedtime,lap_39_position,lap_39_laptime,lap_39_elapsedtime,lap_40_position,lap_40_laptime,lap_40_elapsedtime,lap_41_position,lap_41_laptime,lap_41_elapsedtime,lap_42_position,lap_42_laptime,lap_42_elapsedtime,lap_43_position,lap_43_laptime,lap_43_elapsedtime,lap_44_position,lap_44_laptime,lap_44_elapsedtime,lap_45_position,lap_45_laptime,lap_45_elapsedtime
2009-2010,"ISU World Cup 2009/2010, USA, Marquette",500m,-1,w,Pre-Preliminaries,12,2,3,,,241.0,AriannaFONTANA,6227,ITA,"
						45.100 
					",Q,,5.0,1.0,7.37,7.37,3.0,9.73,17.10,3.0,9.09,26.19,2.0,9.33,35.52,2.0,9.58,45.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,,9.0,1.0,13.27,13.27,1.0,10.58,23.85,2.0,10.91,34.76,1.0,11.15,45.91,2.0,10.47,56.38,2.0,10.11,1:06.49,2.0,9.91,1:16.40,1.0,9.60,1:26.00,1.0,9.94,1:35.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,,9.0,2.0,13.71,13.71,1.0,11.17,24.88,1.0,11.52,36.40,1.0,11.53,47.93,1.0,11.15,59.08,1.0,10.87,1:09.95,1.0,10.50,1:20.45,1.0,10.16,1:30.61,1.0,9.92,1:40.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,,9.0,3.0,13.36,13.36,3.0,10.49,23.85,3.0,10.70,34.55,3.0,10.45,45.00,3.0,10.21,55.21,2.0,9.98,1:05.19,2.0,9.48,1:14.67,2.0,9.82,1:24.49,1.0,9.87,1:34.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,,9.0,2.0,13.49,13.49,2.0,10.58,24.07,3.0,10.09,34.16,3.0,10.67,44.83,3.0,10.54,55.37,3.0,9.83,1:05.20,3.0,9.56,1:14.76,2.0,9.31,1:24.07,2.0,9.66,1:33.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Pre-Preliminaries,10,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.290 
					",Q,,5.0,2.0,6.84,6.84,2.0,9.25,16.09,2.0,8.69,24.78,2.0,9.10,33.88,2.0,9.41,43.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Preliminaries,1,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						42.832 
					",Q,,5.0,2.0,6.89,6.89,2.0,9.19,16.08,2.0,8.69,24.77,2.0,8.90,33.67,2.0,9.17,42.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,14,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.823 
					",Q,,5.0,1.0,6.91,6.91,1.0,9.46,16.37,1.0,8.91,25.28,1.0,9.01,34.29,1.0,9.54,43.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,20,3,3,,,189.0,KWAKYoon-Gy,6120,KOR,"
						46.005 
					",,,5.0,2.0,7.21,7.21,2.0,9.32,16.53,2.0,8.85,25.38,2.0,9.08,34.46,3.0,11.55,46.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,2010 Olympic Winter Games,1000m,-1,m,Quarterfinals,2,3,2,,,247.0,KNEGTSjinkie,7352,NED,"
						1:26.091 
					",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
